subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,3.892,3.837,3.757,4.181,4.161,4.04
10024,64,4.017,3.941,3.874,4.338,4.24,4.086
10035,64,3.932,3.86,3.798,4.196,4.093,4.093
10041,64,4.15,4.012,3.94,4.556,4.507,4.302
10043,64,3.991,3.88,3.835,4.359,4.185,4.136
10054,64,3.969,3.839,3.841,4.368,4.309,4.086
10059,64,4.023,3.937,3.889,4.327,4.276,4.119
10069,64,3.63,3.612,3.521,3.896,3.96,3.768
10074,64,3.637,3.558,3.533,3.926,3.822,3.75
10078,64,3.816,3.723,3.675,4.186,4.058,3.934
10080,64,4.027,3.878,3.781,4.366,4.318,4.09
10085,64,3.846,3.76,3.768,4.21,4.153,3.974
10094,64,3.965,3.856,3.784,4.316,4.291,4.068
10108,64,3.993,3.904,3.826,4.301,4.211,4.362
10125,64,4.207,4.075,4.017,4.55,4.408,4.337
10130,64,3.701,3.7,3.614,4.04,4.038,3.991
10136,64,4.019,3.917,3.866,4.337,4.277,4.157
10137,64,3.903,3.798,3.743,4.215,4.189,4.054
10142,64,3.923,3.943,3.777,4.219,4.18,4.145
10150,64,3.858,3.798,3.674,4.136,4.089,3.952
10154,64,3.608,3.52,3.467,3.897,3.764,3.71
10166,20,3.957,3.85,3.822,4.238,4.161,4.221
10185,20,3.598,3.545,3.448,3.763,3.74,3.621
10186,64,3.804,3.709,3.624,4.1,4.073,3.965
10188,64,3.836,3.767,3.646,4.085,4.034,4.074
10203,20,3.616,3.504,3.447,3.835,3.804,3.754
10221,64,3.878,3.758,3.683,4.217,4.109,4.046
10223,20,3.926,3.829,3.794,4.246,4.177,4.04
10234,20,3.766,3.659,3.586,4.171,4.06,3.973
10296,20,4.078,3.991,3.866,4.334,4.301,4.299
10318,20,3.749,3.678,3.63,3.989,3.893,3.8
10319,20,3.878,3.79,3.695,4.205,4.021,4.018
10320,20,3.863,3.776,3.677,4.116,4.017,3.919
10321,20,3.653,3.54,3.474,3.843,3.777,3.68
10363,20,3.747,3.664,3.551,3.995,3.859,3.756
10382,20,3.923,3.839,3.804,4.202,4.262,4.12
10391,20,3.759,3.668,3.543,3.973,3.919,3.814
10416,20,3.72,3.605,3.643,4.01,3.938,3.821
10422,20,3.736,3.653,3.632,4.001,3.974,3.808
10438,20,3.876,3.837,3.777,4.214,4.131,4.063
12042,20,3.973,3.815,3.776,4.241,4.203,4.073
