subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,48.3352747,54.28650334,46.54422942,67.09141786,53.30573386,40.76266658
10024,64,49.33604684,66.87253104,66.79544051,67.00287431,63.70576645,66.45099297
10035,64,77.68640718,79.40961971,69.10254557,72.21918196,72.59416116,64.57256584
10041,64,54.97330801,46.14212496,40.24344952,38.18843292,41.4015543,57.01749599
10043,64,66.71356121,60.32182641,68.48812572,69.67953758,56.14928579,52.89354198
10054,64,62.16869593,58.57993829,47.63296813,56.6478411,51.36213652,50.68028907
10059,64,63.30103495,52.92786137,58.88929165,64.00962554,63.38062493,64.78513483
10069,64,55.5423789,46.48828452,43.78957509,38.11595854,37.08820135,38.47986907
10074,64,47.74906027,43.08405822,59.47082952,64.9528076,56.78881117,55.52647375
10078,64,68.4401124,66.30457869,60.72798141,58.91392023,50.09560479,61.87517913
10080,64,30.27429376,35.10063601,35.00357345,39.40561511,37.56356485,32.36966363
10085,64,37.81661592,41.82048273,55.65384568,44.8908689,40.47072727,34.87696027
10108,64,60.29825413,56.32100279,63.61073758,56.49296266,72.11764007,57.69254905
10125,64,47.34688412,58.81379339,63.8945338,55.84464445,45.91146378,39.73550711
10130,64,41.53924241,50.6521248,48.20185071,41.66533144,50.84895168,46.97689704
10136,64,59.34709631,55.62127837,45.35292983,40.32821558,45.40846721,55.30637419
10137,64,63.11435989,59.25725373,61.91897735,74.99890452,63.79968577,57.02859168
10142,64,42.41008233,49.84348993,52.42872477,58.76483596,54.27592321,49.35674364
10150,64,70.56465432,65.77102788,57.47247124,49.86945332,56.54326306,61.67404161
10154,64,66.53439577,68.35798454,62.18995919,59.76692041,72.36733462,68.95803415
10166,20,46.55203863,53.0192653,45.46889264,40.95640469,36.05716743,32.12767593
10185,20,57.87133892,58.2467729,54.99151349,73.49647949,63.76145999,50.43933636
10186,64,65.84405939,64.0502681,76.76190369,76.25968345,38.30999455,56.85694738
10188,64,63.02222185,63.60072722,56.36140913,46.73592574,46.24727387,42.13404786
10203,20,57.41548782,51.3776574,55.05881555,55.70440092,62.44083115,40.68106071
10221,64,46.90408974,51.5933396,50.49328093,37.16404977,38.0677061,34.78848461
10223,20,51.11464011,51.71055922,55.94904107,56.02753391,50.71017966,49.96561423
10234,20,57.5087266,56.98860782,54.1626165,57.00995121,38.52872209,39.51601725
10296,20,34.38646244,40.21077117,46.73484281,46.56721156,40.43416373,32.47774634
10318,20,64.69559757,60.82473091,52.22789489,63.53960108,56.92700836,48.16674143
10319,20,57.5024491,57.07158063,45.92594004,49.3880595,44.93881899,36.97743418
10320,20,60.95543496,52.13445027,60.49146551,51.07604755,48.05660285,39.85181754
10321,20,26.82713954,21.01068096,20.04211441,30.56372378,25.85886268,25.01692893
10363,20,65.23619709,61.90023965,52.2222046,59.3738329,55.70125598,52.6005594
10382,20,19.74023393,18.02787695,17.95861822,26.45967501,21.9269198,16.89316497
10391,20,50.97395525,46.98809693,43.11437551,53.71076051,44.38511416,47.08268405
10416,20,56.29071796,22.02328862,49.49578816,65.59250216,60.23361461,43.67653095
10422,20,63.14886401,55.42478835,49.24656836,50.14226943,49.3413475,42.99297257
10438,20,38.56524917,53.41798461,54.49038071,48.32289778,39.52006653,28.70701746
12042,20,54.78547197,51.38284228,50.99503354,59.44576714,46.70371423,45.04369926
