subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,-4.672,94.225,-104.143,-162.287,99.404,-85.024
10024,64,108.145,171.679,-71.579,194.614,373.619,223.327
10035,64,177.945,31.421,-54.147,346.248,-154.84,11.495
10041,64,-49.423,139.082,60.894,199.377,85.674,407.644
10043,64,40.084,171.309,261.923,522.679,311.497,234.641
10054,64,140.011,-41.296,246.294,130.7,54.016,179.048
10059,64,187.211,-49.533,32.589,231.531,317.118,224.849
10069,64,137.31,160.063,123.26,304.464,115.86,28.614
10074,64,335.42,4.007,370.929,55.29,301.555,248.367
10078,64,133.363,184.06,118.295,203.384,174.793,5.59
10080,64,395.319,-25.598,139.366,-70.876,-183.28,52.582
10085,64,253.173,113.268,78.647,-76.901,334.793,-412.648
10108,64,211.344,25.762,123.337,137.399,119.453,191.732
10125,64,-64.987,349.435,205.917,24.849,74.901,-15.002
10130,64,88.397,75.201,298.941,118.441,300.447,119.417
10136,64,210.588,292.267,-35.993,127.009,-202.322,470.723
10137,64,-50.607,249.299,269.983,120.186,220.747,9.171
10142,64,-24.794,-155.912,344.238,316.329,-184.113,257.179
10150,64,179.125,-62.964,16.237,159.173,80.124,200.512
10154,64,-131.087,161.306,5.741,38.377,256.944,58.265
10166,20,28.502,115.329,153.691,234.613,168.99,-145.642
10185,20,-478.069,-123.096,24.197,-39.587,302.356,72.944
10186,64,-75.058,166.526,170.885,72.255,2.996,10.308
10188,64,156.65,113.128,-3.465,-55.201,-8.403,-83.586
10203,20,-4.379,-41.685,21.259,441.713,3.235,64.586
10221,64,99.21,-19.774,114.306,263.442,27.574,-61.011
10223,20,482.128,239.493,420.425,127.079,-15.47,13.459
10234,20,200.44,219.459,265.719,139.107,79.532,-284.9
10296,20,-127.245,98.147,251.925,412.205,46.66,271.207
10318,20,280.784,148.554,273.782,276.165,289.622,156.752
10319,20,60.788,172.794,21.182,145.245,-54.637,115.962
10320,20,-51.297,253.289,243.404,-155.001,-54.13,-365.957
10321,20,86.147,282.8,207.679,-184.275,263.489,160.675
10363,20,187.624,184.568,410.809,5.087,439.462,305.817
10382,20,181.516,387.835,-346.721,-155.855,81.126,-117.351
10391,20,71.721,-128.275,48.815,-152.656,59.784,-217.847
10416,20,456.024,73.193,-94.722,397.547,-341.824,-189.8
10422,20,104.625,165.123,344.503,-119.212,354.576,208.054
10438,20,-83.934,319.82,251.297,187.883,165.035,-156.62
12042,20,221.599,50.679,152.612,165.433,335.268,88.481
