subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,-1195.57469,442.1866278,-484.3557668,536.2583636,-603.8789026,196.1859881
10024,64,-277.9958846,-34.19343583,-142.4708199,296.7856787,249.1379705,208.6704497
10035,64,51.34172101,93.50402069,195.3722583,71.28899729,86.17719965,226.8593072
10041,64,-136.3751013,48.92917696,16.9082778,120.7724447,-469.1517958,77.18876249
10043,64,-492.0547758,182.3665549,155.257054,345.4823644,107.2505836,49.89412221
10054,64,91.05552405,-108.6840746,-60.99334621,433.0969755,53.07082545,91.06485973
10059,64,615.5558134,60.21732709,-137.5382672,-67.89696212,192.3832494,159.8247723
10069,64,-39.00944745,-180.9552479,-41.35600117,237.150331,-154.9340334,0.8980899901
10074,64,112.4307201,38.86413337,333.2580563,5.887851178,82.54585556,48.27745904
10078,64,-154.0541406,-33.59444729,56.13582899,-65.10372638,472.871872,254.3979918
10080,64,190.4071608,257.4526029,215.0219976,-514.6536064,-498.5538438,326.4020804
10085,64,63.30426084,127.8331785,-91.84802325,-95.2467808,-69.83795825,360.306555
10094,64,-208.3260112,122.9632938,-565.3179636,-263.7281352,-430.9528144,39.96807135
10108,64,37.30230113,318.0749859,252.7560268,41.64130463,96.73468403,250.0999613
10125,64,22.5516591,144.9180693,-83.02510653,-111.0217753,56.85885583,-201.8063321
10130,64,-7.313631809,244.226482,503.1144904,191.9886748,0.7889000152,518.5803148
10136,64,231.7053291,6.138737005,207.8992271,-294.8647766,-91.21190916,489.760377
10137,64,38.13704338,336.1223058,295.4771539,-139.0342447,-214.0469679,258.490972
10142,64,475.4563319,-201.2910417,184.9744348,248.0422207,-43.78822259,-233.2881228
10150,64,165.1712652,39.91466844,-118.9209555,86.55336855,-11.5236593,239.3330129
10154,64,268.9336217,90.56873925,106.4688243,380.3503776,-45.83928381,122.4745587
10166,20,-73.40416845,366.2141236,327.4253905,377.9131421,-188.8486247,215.0228227
10185,20,-412.2728694,-361.964614,180.8429054,404.7756604,643.5458802,22.24900334
10186,64,-285.172611,168.5620373,220.5591394,106.7800663,113.0243061,249.0300641
10188,64,197.0438891,188.1527701,59.86252856,-653.4558752,48.44210937,-39.06521215
10203,20,203.6208251,10.37384056,-7.212421284,-116.6592888,-72.25528846,435.7147324
10221,64,448.6956922,-145.4763202,-194.057608,144.4777349,139.8530949,-340.630818
10223,20,69.52722327,220.744262,267.5577262,-13.63477569,302.4975454,-18.166605
10234,20,279.1022481,312.3651769,73.41363315,4.754741278,-276.4736318,157.8714826
10296,20,315.6943292,273.8242656,335.0149532,170.1632052,-225.1470895,158.8046175
10318,20,-56.86021709,-292.1005464,-149.1136873,448.5600929,149.0613617,-142.266111
10319,20,137.1954359,165.3246484,-175.8991699,-51.44661159,281.4617514,231.242282
10320,20,-284.2647252,125.0137623,407.7963196,105.3787975,221.8331541,-63.96959909
10321,20,430.3084945,7.287553306,434.6718326,190.9539226,81.49340167,407.8350125
10363,20,286.7382669,207.2816655,332.1670159,39.0115057,157.294192,557.4803488
10382,20,-195.0191342,470.7605015,-74.3445854,-382.0197796,562.6112902,104.8764159
10391,20,151.1948845,282.2619014,103.4901179,-182.4333563,249.3734902,-35.23266759
10416,20,-63.65058565,43.78356468,1.732858654,380.6299087,-98.34499545,-83.07814097
10422,20,265.9183169,169.8858195,385.7132682,211.1542767,38.35397224,-235.0028171
10438,20,-255.9664308,69.66982303,-73.90022277,155.3270903,-142.2132203,-55.29094819
10652,20,0.0,0.0,0.0,,,
12042,20,68.7944417,96.26383236,117.151959,-170.9544258,-345.4510343,-304.4842189
