subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,-4.671749573,94.22527172,-104.1426105,-162.2867557,99.40375637,-85.02443608
10024,64,108.1447016,171.6785531,-71.57940172,194.6142586,373.6192784,223.327079
10035,64,177.9452092,31.42098099,-54.14700362,346.2475722,-154.8400101,11.49456868
10041,64,-49.42260746,139.0819734,60.89398989,199.3773406,85.67442195,407.6437531
10043,64,40.08359791,171.3090887,261.9225974,522.6792057,311.49689,234.6412487
10054,64,140.0105973,-41.2962953,246.2935623,130.7002323,54.01612122,179.0476583
10059,64,187.2109893,-49.53302414,32.58893305,231.5307345,317.1177658,224.8488502
10069,64,137.3104655,160.0632052,123.2599139,304.4636348,115.8602256,28.61377115
10074,64,335.4201625,4.007188196,370.9289459,55.29045605,301.5545742,248.3668613
10078,64,133.3627544,184.0601829,118.2951857,203.3838046,174.7934338,5.589975331
10080,64,395.3186695,-25.59798021,139.3656645,-70.87614914,-183.2802434,52.58194447
10085,64,253.1725249,113.2680109,78.6469643,-76.90111801,334.7929299,-412.6482852
10108,64,211.3441988,25.76236596,123.3369727,137.399076,119.4532339,191.7319708
10125,64,-64.98699039,349.4347023,205.9169977,24.8485476,74.90119975,-15.00158564
10130,64,88.396873,75.20062207,298.9408198,118.4412918,300.4467558,119.4172732
10136,64,210.5876341,292.2671322,-35.9932597,127.0086744,-202.3215295,470.7226717
10137,64,-50.60650069,249.2989129,269.9833867,120.1857788,220.7466226,9.171376238
10142,64,-24.79388664,-155.9121745,344.2378009,316.3294472,-184.1126974,257.1792522
10150,64,179.1250209,-62.96381218,16.23717041,159.173462,80.12423897,200.5119685
10154,64,-131.0874757,161.306194,5.740626459,38.37658638,256.943528,58.26521921
10166,20,28.50209087,115.3292565,153.6912592,234.612876,168.9899153,-145.6423195
10185,20,-478.0691214,-123.0956846,24.19717991,-39.58699548,302.3560786,72.94357365
10186,64,-75.05812669,166.5260114,170.8854711,72.25545784,2.995832672,10.30795454
10188,64,156.6504485,113.1275038,-3.465472853,-55.20099038,-8.403184185,-83.58642064
10203,20,-4.378544598,-41.68454288,21.25855595,441.7132607,3.234882407,64.58638969
10221,64,99.20988956,-19.77402123,114.3063163,263.4422221,27.57410385,-61.01140516
10223,20,482.1280426,239.4934498,420.4246181,127.0786659,-15.46954567,13.45891329
10234,20,200.4397818,219.4587005,265.71902,139.1071634,79.53197443,-284.900352
10296,20,-127.2448185,98.14679147,251.9249373,412.2053332,46.66013355,271.2067751
10318,20,280.783695,148.5541189,273.7820133,276.1650345,289.6222232,156.7520157
10319,20,60.7882817,172.793942,21.18222037,145.245348,-54.63742693,115.9618509
10320,20,-51.29715137,253.289007,243.4042201,-155.0013018,-54.12985611,-365.9567216
10321,20,86.14729446,282.8002598,207.6790992,-184.2751691,263.4892708,160.6748533
10363,20,187.6236225,184.5676096,410.8092997,5.087472429,439.4620299,305.8168867
10382,20,181.5155394,387.8350234,-346.7207506,-155.8550134,81.12624193,-117.3505749
10391,20,71.72067745,-128.2745763,48.81463015,-152.6557541,59.78446215,-217.8469944
10416,20,456.0241307,73.19318466,-94.72242121,397.5466009,-341.8241666,-189.7999213
10422,20,104.6252759,165.1230768,344.5033071,-119.2119358,354.5758783,208.0535424
10438,20,-83.93409,319.8202408,251.2971685,187.8828064,165.0347878,-156.6204527
12042,20,221.5993603,50.67930809,152.6116137,165.4333411,335.2680718,88.48139421
