subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,0.186017,-0.118962,-0.582138,-0.281558,0.0884591,0.212144
10024,64,0.0685216,0.29542,0.670584,0.57938,1.1388,1.25174
10035,64,-0.705555,-0.303153,0.54233,0.351943,0.367168,0.670695
10041,64,0.537035,0.946837,-0.0278004,0.229623,0.597164,0.871188
10043,64,1.05679,1.89227,2.45063,1.00135,1.64432,2.73051
10054,64,1.11567,0.555287,0.184866,0.57752,0.619816,0.671566
10059,64,0.79614,1.13276,1.33443,0.654904,1.26917,2.14533
10069,64,0.15009,0.712811,0.926482,0.0797419,0.323849,-0.71381
10074,64,-0.201093,1.49802,1.10556,0.820648,1.16299,0.679152
10078,64,-0.759676,1.35773,1.74878,0.754481,1.20457,1.10303
10080,64,0.32143,0.817015,0.932543,0.428963,0.0319324,0.688339
10085,64,0.224257,1.09213,-0.479564,-0.0775439,0.441031,1.4562
10108,64,0.276063,0.4778,1.72071,,0.21143,1.74766
10125,64,-0.312112,0.961877,1.3112,0.502449,1.78234,0.907051
10130,64,-0.340777,0.522257,0.323229,0.677949,-0.0446648,0.547797
10136,64,0.377309,1.01961,2.05815,0.47,0.598635,2.32682
10137,64,-0.0816617,-0.38674,-0.0571105,-0.145244,0.215413,-0.220783
10142,64,0.0645921,0.533956,0.892277,0.0448858,1.10753,0.742028
10150,64,-1.06309,0.637022,0.454792,0.177568,0.343066,0.866198
10154,64,0.301353,0.444487,0.533018,-0.0852566,0.568015,1.00733
10166,20,0.563658,0.607609,0.459144,0.696177,0.543846,0.934993
10185,20,-0.199539,1.63526,1.5515,0.624333,1.65766,-0.11376
10186,64,0.0631601,0.538978,1.47057,0.479648,1.53431,1.00054
10188,64,0.984458,0.975847,0.668604,,0.76511,0.672713
10203,20,0.382497,1.38222,0.990548,1.3313,1.25479,0.226059
10221,64,0.50294,0.641305,1.04096,0.844359,0.824762,1.34855
10223,20,0.197742,0.839933,1.00414,0.272659,0.126206,-0.0681438
10234,20,-0.527201,-0.105519,0.292261,0.12798,0.396123,0.131927
10296,20,0.645413,0.39272,1.13961,0.655699,0.763258,0.48121
10318,20,-0.0271531,1.1187,0.617976,0.196352,1.04016,0.848186
10319,20,0.0389009,0.424894,-0.00724902,0.302336,0.282793,0.10688
10320,20,-0.920553,1.46736,1.26744,0.678428,1.42929,0.663161
10321,20,0.0522972,1.14483,2.45737,1.00032,1.31486,2.82395
10363,20,0.237329,0.755247,1.1988,1.24623,1.17721,0.887568
10382,20,0.162267,-0.239515,-0.190604,-0.790751,-0.516764,0.860378
10391,20,0.356761,0.257225,-0.284455,-0.329342,0.137943,-0.241833
10416,20,0.361571,0.580005,0.270224,0.458254,0.525462,0.130007
10422,20,0.64091,0.0233563,-0.34088,-0.276961,1.06408,0.889404
10438,20,0.630104,1.08031,1.30453,0.664443,0.678521,0.886183
12042,20,0.579779,0.515546,0.999263,1.21819,1.52704,1.03078
