subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,60.342,-23.865,-88.551,-73.6,25.767,7.498
10024,64,3.346,11.799,35.376,68.204,86.522,104.165
10035,64,-72.565,-30.228,67.681,47.217,17.547,52.499
10041,64,85.98,89.909,-3.289,78.863,116.179,82.038
10043,64,77.284,85.441,89.751,120.487,79.574,97.719
10054,64,105.402,51.897,14.251,75.684,42.576,56.245
10059,64,89.998,98.81,95.602,140.341,138.149,165.556
10069,64,15.353,57.243,67.31,19.586,44.397,-85.06
10074,64,-27.153,113.973,56.267,92.277,85.681,37.065
10078,64,-98.202,95.394,127.159,96.64,117.832,100.922
10080,64,71.873,49.556,54.52,61.523,1.046,57.756
10085,64,71.407,132.679,-10.232,-24.981,70.068,248.092
10125,64,-58.64,69.181,89.955,97.152,205.79,102.283
10130,64,-68.008,53.513,24.276,126.977,-14.78,67.318
10136,64,36.416,69.021,146.562,80.446,66.12,144.31
10137,64,-24.292,-66.576,-3.237,-41.509,27.986,-33.942
10142,64,18.526,46.22,42.591,7.338,82.55,55.509
10150,64,-160.986,73.554,52.573,20.666,48.441,212.334
10154,64,29.876,27.971,65.322,-31.233,28.068,84.745
10166,20,130.622,69.996,53.518,179.804,70.723,154.789
10185,20,-51.987,647.296,217.361,82.32,112.587,-17.283
10186,64,-3.858,34.844,75.836,59.044,137.949,82.707
10203,20,31.413,82.086,46.724,133.62,90.593,19.667
10221,64,67.309,56.233,83.984,263.928,149.101,179.266
10223,20,35.277,90.271,104.209,48.526,10.614,-8.547
10234,20,-129.983,-26.39,52.625,106.875,55.529,26.642
10296,20,81.29,29.541,56.566,68.998,52.83,38.365
10318,20,-16.228,76.214,21.48,21.162,82.763,69.386
10319,20,1.496,40.19,-8.279,45.924,20.854,16.14
10320,20,-122.61,163.319,118.888,116.769,175.871,99.088
10321,20,12.693,150.763,135.321,135.179,142.164,306.663
10363,20,32.83,74.245,95.285,301.786,103.159,108.848
10382,20,46.454,-53.987,-35.278,-211.843,-98.738,141.707
10391,20,71.677,17.342,-33.778,-74.117,23.602,-25.897
10416,20,134.11,59.91,24.06,134.302,124.313,12.104
10422,20,97.272,-1.289,-32.69,-62.79,178.233,132.045
10438,20,143.892,141.496,138.486,144.499,109.916,139.258
12042,20,98.575,59.328,112.005,246.705,177.445,121.676
