subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,138.395,139.563,135.119,145.273,142.285,133.083
10024,64,133.49,141.256,161.405,123.155,162.755,149.659
10035,64,146.2,130.965,126.896,135.26,122.194,119.93
10041,64,111.487,97.644,91.2301,71.3663,97.4756,116.307
10043,64,159.549,144.171,161.593,160.502,129.596,128.659
10054,64,131.252,131.994,107.347,122.977,112.852,110.631
10059,64,167.775,127.094,,144.734,130.766,
10069,64,,,113.736,99.1691,,95.9728
10074,64,120.507,111.128,139.455,128.281,118.437,120.081
10078,64,117.4,140.78,126.105,117.072,114.155,116.287
10080,64,87.4103,127.083,122.633,117.888,99.3074,81.4294
10085,64,59.0152,71.2317,88.9918,77.0299,72.1135,64.9789
10108,64,139.937,133.007,149.219,128.429,145.091,131.911
10125,64,108.141,117.482,132.524,104.215,111.346,101.285
10130,64,92.8681,112.57,116.701,89.6136,103.607,98.0294
10136,64,130.69,120.19,117.052,94.375,98.047,122.351
10137,64,154.059,151.498,138.707,154.642,144.274,132.915
10142,64,86.4257,99.2219,124.244,115.159,106.41,84.9925
10150,64,152.19,138.69,123.166,88.7,117.436,146.409
10154,64,132.64,124.995,126.069,117.688,122.901,126.876
10166,20,115.0,113.944,104.017,99.3206,93.6102,60.5829
10185,20,107.97,96.8825,96.5131,141.809,117.788,95.7544
10186,64,127.843,142.5,156.704,174.624,138.846,113.329
10188,64,133.741,131.635,122.645,99.0358,104.457,84.0428
10203,20,119.753,119.001,125.832,132.125,106.92,84.5097
10221,64,102.031,102.75,103.8,75.2955,87.3875,71.27
10223,20,125.677,126.498,129.703,137.946,121.933,88.2618
10234,20,136.577,118.215,117.575,108.016,93.4644,92.4007
10296,20,70.6901,86.0961,91.9337,107.644,98.076,52.1656
10318,20,147.871,141.685,121.623,140.566,125.751,102.786
10319,20,119.33,127.103,113.673,118.752,123.985,74.6715
10320,20,138.61,113.396,136.349,121.608,123.93,87.9431
10321,20,123.571,98.8613,94.6887,125.836,113.983,79.4115
10363,20,135.494,128.88,119.973,132.527,114.393,97.0508
10382,20,76.7634,71.6974,69.4268,87.363,80.6167,74.003
10391,20,130.546,108.196,125.176,129.256,110.7,87.903
10416,20,120.239,107.355,106.824,113.859,110.981,84.1779
10422,20,121.287,116.546,94.3265,95.7134,119.732,84.201
10438,20,82.5152,97.8686,99.7544,105.205,82.6896,56.6958
12042,20,128.561,135.467,122.023,131.9,133.121,112.843
