subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,64.5913,-45.6573,-206.264,-132.76,58.5553,54.7199
10024,64,-29.9749,45.3243,154.62,139.278,69.046,82.2535
10035,64,-47.9767,65.3249,48.9068,102.486,31.3255,20.4925
10041,64,-21.0232,64.3287,40.2673,-14.5107,29.757,82.3337
10043,64,-17.6814,67.0994,46.5452,205.563,53.6366,80.3151
10054,64,39.0308,19.8948,29.2147,61.9531,44.1264,-12.1019
10059,64,128.389,137.459,64.5293,131.018,85.2464,187.463
10069,64,17.1978,114.011,102.591,-222.844,113.522,-154.429
10074,64,-12.6133,49.9354,61.7796,-25.3738,68.267,41.7137
10078,64,-61.7188,24.2304,155.996,97.583,59.8311,66.5339
10080,64,-2.69043,62.5414,85.6804,122.623,99.348,66.8187
10085,64,-15.9857,87.6878,-40.3438,-134.338,63.2541,270.381
10108,64,-44.398,21.1928,61.0416,,-15.8077,80.553
10125,64,-17.1319,42.1048,161.449,39.617,235.072,126.555
10130,64,-148.808,56.8905,5.60545,269.828,-11.4022,88.838
10136,64,-84.0571,18.3545,136.521,101.183,-25.6001,112.324
10137,64,-101.596,-109.769,-8.21102,-134.319,-48.9946,-147.233
10142,64,60.5925,107.806,32.0648,92.3802,111.85,58.911
10150,64,40.4132,18.2352,58.3808,-108.717,-120.843,127.652
10154,64,-73.9816,64.2724,45.4143,-11.6768,39.4211,87.5037
10166,20,89.1996,113.528,106.518,56.887,139.753,267.726
10185,20,-19.9427,348.775,67.9401,34.0569,102.143,-25.6952
10186,64,50.5188,52.9158,37.4002,86.2685,105.911,58.7836
10188,64,158.633,58.0966,7.76674,,72.3687,-27.6994
10203,20,26.079,31.3114,5.97439,52.1456,59.8269,12.137
10221,64,71.4186,110.759,15.9305,218.963,202.25,220.104
10223,20,75.0412,163.449,198.385,5.05727,55.9994,-27.3304
10234,20,-38.4486,-54.5538,-16.38,97.9298,-1.7376,-151.593
10296,20,57.9583,-16.7701,28.4138,76.0839,47.8116,36.3113
10318,20,11.839,37.6805,12.6623,-40.5249,35.3513,24.0274
10319,20,48.9643,-23.8031,2.61765,91.4519,43.6619,84.0154
10320,20,-71.5181,107.455,52.8831,-15.6826,66.1085,-148.789
10321,20,1.53668,112.61,122.52,78.0702,82.9104,211.606
10363,20,-25.9632,11.0028,86.4299,121.333,83.6489,16.7789
10382,20,-43.3097,10.7806,8.17134,-192.728,26.4475,28.1941
10391,20,98.457,64.5869,-63.2488,3.41837,-5.614,20.7195
10416,20,228.05,133.667,-44.6918,123.527,-5.67031,-48.4679
10422,20,80.8647,107.749,34.8595,12.9779,53.1228,160.451
10438,20,146.723,113.232,122.537,89.8552,161.87,13.761
12042,20,78.1715,-59.8512,14.8495,140.882,169.697,64.0526
