subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,245.8098789,-33.40100347,-59.41100735,-192.2913445,94.34266096,-455.2843098
10024,64,51.50518412,216.7239022,-43.07783318,301.6594878,228.2034496,215.9143377
10035,64,63.78518055,-4.770407906,58.70219435,256.4012591,39.64610668,-12.0619031
10041,64,116.0566007,1.490057387,49.60686233,109.906853,39.83382616,244.574431
10043,64,-25.62338812,355.1517093,249.9983138,374.4132166,230.4525052,96.11400927
10054,64,158.6303775,-28.41459956,233.684593,163.9882395,-12.51349199,47.32266286
10059,64,147.032164,-39.64269114,82.73383141,156.7247806,166.7129087,46.46475263
10069,64,75.70934985,-2.676684913,246.5055215,29.87690723,202.9075439,24.8215351
10074,64,107.0824639,-159.8247068,185.7104471,115.8103672,6.255481216,33.83137711
10078,64,-19.59206329,125.0529144,131.6640306,146.4549493,151.4133167,109.5907605
10080,64,187.8473098,120.4664263,188.3984844,174.1250768,-16.9713168,171.6121526
10085,64,29.66090549,34.24903571,35.77376738,172.9675235,192.0450514,-88.5934301
10094,64,35.41144105,3.381507557,-75.70485375,-260.2156719,-206.540731,-161.9962711
10108,64,286.257765,99.96065903,26.40478442,-22.76202407,78.58933076,160.3505638
10125,64,78.94029743,394.925523,179.6101349,-108.7133209,-157.6658939,1.213369199
10130,64,22.48407827,34.14809169,374.6448244,13.51408433,172.6229388,197.1665172
10136,64,246.6513695,276.5300771,66.99293104,61.20508708,-119.7331419,374.3809134
10137,64,-32.69286707,137.0099606,242.7818371,43.85975775,205.8552391,17.33730565
10142,64,44.25791194,-174.7832458,329.0579548,187.6584624,6.024011456,174.1499834
10150,64,108.5727921,52.87409655,-29.35548065,-58.73806967,-9.531609128,168.9783142
10154,64,104.0734088,103.4171944,67.33725981,122.1988342,111.285437,136.4889346
10166,20,44.12996289,125.0682082,75.11270781,95.80674745,27.71118064,-170.650825
10185,20,-383.3999621,-104.8877468,-4.778723089,154.8882707,251.7873721,28.12274866
10186,64,-35.20888228,129.1061247,174.8668741,200.5500824,-1.643344934,-56.2893175
10188,64,6.760614554,86.29330079,25.94226879,-67.70115661,-54.76478305,79.46581323
10203,20,66.69446588,-7.716648802,-10.90557298,310.6006075,158.6765708,93.13947348
10221,64,50.28175268,-85.15474828,54.42617848,477.8613248,82.89258935,-132.7835715
10223,20,290.5182025,138.8651302,300.3679329,34.04432546,41.89149805,58.37100873
10234,20,318.3165046,148.4031549,156.9224265,-8.940962694,142.7725162,-122.9516913
10296,20,-2.14877074,262.6768679,207.2302168,195.5541374,-79.73862422,115.01976
10318,20,60.39944138,-39.83859376,160.3298564,47.76597062,193.5174178,63.68410306
10319,20,103.4781627,258.1757042,-88.25511883,137.5705085,150.0000424,229.2048001
10320,20,-225.1806856,233.6446059,208.371462,165.6596378,99.57682155,108.4576222
10321,20,272.3429382,375.2705248,266.682849,-51.38460622,45.93042985,320.7730372
10363,20,-205.5981598,185.0964043,269.8932433,-166.3554888,363.8437135,156.2704261
10382,20,-29.24490356,265.9375261,-229.4923486,-25.56272426,237.1801205,190.0100697
10391,20,173.1415795,-37.52773657,97.13473583,-228.2627431,77.4521233,6.58676474
10416,20,396.3317386,94.03779292,-44.88742958,229.6036354,-162.6039037,-163.5933735
10422,20,139.919011,214.6522906,273.7765622,-76.05671159,100.7881615,31.94785812
10438,20,-25.54047658,343.2971538,180.2019418,68.48715683,106.8713106,-148.8777528
10652,20,0.0,0.0,0.0,,,
12042,20,198.2300285,37.59868565,53.11389992,191.8850378,232.7103514,190.0614497
