subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,0.159425,-0.0738529,-0.740084,-0.472118,0.266526,0.284641
10024,64,-0.172129,0.482047,1.1376,0.803758,0.56526,0.609316
10035,64,-0.344368,0.430193,0.158513,0.648957,0.390335,0.310305
10041,64,-0.127824,0.536176,0.328442,-0.133032,0.232956,0.737442
10043,64,-0.219089,0.980414,0.953471,1.26225,0.75572,1.34725
10054,64,0.279611,0.128719,0.310482,0.359709,0.260397,-0.0312431
10059,64,0.498875,0.815984,0.590341,0.332983,0.511981,1.2306
10069,64,0.12368,0.698792,0.631693,-0.477172,0.609616,-0.600456
10074,64,-0.10107,0.747005,0.813384,-0.175852,0.780406,0.513035
10078,64,-0.454557,0.257724,1.49344,0.673367,0.60609,0.672733
10080,64,0.0208553,0.840197,1.12866,0.807485,0.79357,0.860554
10085,64,-0.100432,0.655646,-0.543492,-0.568068,0.422018,1.24882
10108,64,-0.378027,0.350794,1.05084,,-0.0604233,0.985143
10125,64,-0.0923881,0.424152,1.26283,0.0668038,1.44556,0.762402
10130,64,-0.597961,0.374259,-0.00860347,1.33322,-0.0365778,0.414293
10136,64,-0.487595,0.316025,1.42408,0.547223,-0.0774689,1.38959
10137,64,-0.314146,-0.448364,-0.144815,-0.299799,-0.208769,-0.542963
10142,64,0.391152,0.992941,0.517397,0.572426,1.18268,0.46757
10150,64,0.127928,0.0499588,0.321005,-0.293732,-0.52279,0.230249
10154,64,-0.386848,0.53487,0.191883,-0.107189,0.414683,0.603265
10166,20,0.294585,0.706789,0.599874,0.163125,0.718741,0.853407
10185,20,-0.0911344,0.829668,0.347284,0.211763,1.03563,-0.125049
10186,64,0.256723,0.506282,0.399361,0.489543,0.782047,0.490207
10188,64,0.763583,0.519073,0.491825,,0.535703,0.0592149
10203,20,0.275564,0.419054,0.33357,0.510761,0.800591,0.0590217
10221,64,0.309702,0.873413,0.282963,0.627973,1.04884,1.20224
10223,20,0.331586,1.09134,1.18976,0.00968841,0.443923,-0.101756
10234,20,-0.138026,-0.327523,-0.0817335,0.155574,0.0507205,-0.415976
10296,20,0.433599,-0.0690964,0.346641,0.499142,0.524792,0.366928
10318,20,0.110094,0.435043,0.439141,-0.24591,0.346104,0.31666
10319,20,0.275758,-0.117075,0.1714,0.541036,0.442486,0.447355
10320,20,-0.299978,0.579942,0.474687,-0.061841,0.499952,-0.269907
10321,20,0.0137443,0.814836,2.04068,0.579768,0.73167,1.62683
10363,20,-0.109704,0.112044,0.747208,0.407441,0.754408,0.259116
10382,20,-0.154976,0.112654,0.170023,-0.777044,0.279538,0.216007
10391,20,0.361177,0.412185,-0.338843,0.00477744,-0.00206804,0.0472273
10416,20,0.553269,0.654769,0.0404238,0.479114,0.0300605,0.0505475
10422,20,0.380754,0.834164,0.32839,0.0650576,0.280704,0.773967
10438,20,0.542553,0.645752,0.975242,0.244659,0.870481,0.210355
12042,20,0.320903,-0.256872,0.31786,0.635934,1.22191,0.548653
