subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,144.3826326,144.4444647,152.6595515,162.1564782,146.2100612,139.0436978
10024,64,124.5120009,155.8262982,158.5820495,136.2312233,157.1471566,158.9806893
10035,64,137.9751969,115.5655334,100.6274549,153.4448475,140.9235705,114.3425165
10041,64,100.2508364,107.3737684,79.70449624,111.9479594,107.8830989,108.8767403
10043,64,134.0704402,118.1765258,127.9604336,143.2839677,120.1848103,115.7520684
10054,64,153.6296517,147.6256039,123.3168912,128.5079547,133.7644759,122.3684959
10059,64,164.3981472,133.3888889,,168.0284505,143.8133921,
10069,64,,,77.91185259,69.97695973,,71.90159993
10074,64,131.606058,130.3389831,147.3312396,160.4145681,143.9912207,127.4320867
10078,64,118.562595,126.0168532,113.0521709,126.5163852,130.9535954,115.8104057
10080,64,106.8604534,117.4552143,122.9352281,140.1350036,115.1860451,91.03868948
10085,64,66.38146631,66.1617339,67.92346954,76.75890647,73.94687336,56.67417366
10108,64,113.0273227,109.0843253,125.3235507,111.6965333,140.3173215,103.6966754
10125,64,88.07416655,82.54885937,85.47816156,77.87205302,100.3378348,77.17014932
10130,64,62.02538527,72.99052868,91.25842742,73.49059548,89.77905255,70.0392087
10136,64,111.9822703,88.20992254,88.93054579,94.3535689,79.42501566,93.34170356
10137,64,127.3251298,140.5192965,111.1145539,138.5734074,130.7010275,104.6447159
10142,64,77.02048077,104.7489218,117.7984815,133.0165007,122.311366,84.17421766
10150,64,108.0354001,100.4551151,91.7374927,61.25544791,96.26264681,108.6310665
10154,64,117.1612271,131.2527874,129.8544286,109.9437679,128.8353797,124.9360962
10166,20,107.7503564,90.93850329,90.31457444,124.2240301,101.0698834,54.74544877
10185,20,93.35151653,104.1189196,86.83238076,134.7305199,109.3022328,81.19886509
10186,64,86.7280828,91.27347878,101.7457467,146.6727772,116.5332446,97.80772228
10188,64,119.9693637,124.6449223,133.0451275,103.7040109,94.88195518,80.65062722
10203,20,95.03201279,104.6983555,97.29383081,133.2236779,117.4434644,77.63855404
10221,64,107.5195726,105.1978213,98.67089203,87.60461899,82.2779716,68.25478197
10223,20,101.7647555,109.8814622,102.756538,128.6915569,115.4349117,84.22641693
10234,20,117.9695507,120.2605287,111.0689824,109.9801439,109.8054777,93.78363148
10296,20,73.93177247,87.44677678,78.22320421,120.2202963,100.6130166,60.86986186
10318,20,136.2013266,137.7014033,112.0415928,141.6922544,133.2961009,76.14367996
10319,20,120.4807844,131.3440924,109.0475381,129.2488587,124.0715386,76.87725513
10320,20,126.7268396,112.9771103,112.9792226,123.7969958,130.7622254,99.39991918
10321,20,118.8062724,116.4424233,97.78884637,140.6545853,127.9724747,75.41572448
10363,20,114.6734499,106.5609429,90.21670145,93.91720599,100.4118168,53.68220331
10382,20,68.74006061,68.38744691,58.15473583,87.79354219,75.23226668,73.36696077
10391,20,92.13185801,98.30227853,95.13327173,103.7152015,97.54854774,74.04394256
10416,20,124.9085774,102.8794485,91.74085176,114.9260153,99.96681309,62.23894166
10422,20,89.16392699,79.85210441,65.3830271,100.9893414,95.38150915,57.1462101
10438,20,62.11025199,84.7837631,84.11833441,97.17949269,82.60498629,57.99460424
12042,20,112.9359282,123.975339,103.2837034,114.7814593,123.4364794,96.52749966
