subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,4.904,4.919,4.964,4.97,4.964,4.925
10024,64,4.893,4.963,4.931,4.966,5.0,4.997
10035,64,4.905,4.912,4.959,4.918,4.963,4.952
10041,64,4.966,4.922,4.95,5.052,4.942,4.994
10043,64,4.903,4.924,4.919,4.918,4.963,4.944
10054,64,4.945,4.944,4.966,4.879,4.926,4.97
10059,64,4.882,4.931,4.907,4.933,4.959,4.973
10069,64,4.831,4.87,4.948,4.95,4.911,4.978
10074,64,4.92,4.943,4.941,4.955,4.975,4.957
10078,64,4.925,4.911,4.977,5.027,4.963,4.965
10080,64,4.881,4.9,4.945,4.883,4.946,4.972
10085,64,4.855,4.847,4.936,5.025,4.969,4.99
10094,64,4.949,4.922,4.897,4.91,4.932,4.948
10108,64,4.889,4.943,4.937,4.95,4.989,4.981
10125,64,4.933,4.891,4.955,4.937,4.995,4.959
10130,64,4.954,4.935,4.929,5.016,5.004,4.965
10136,64,4.896,4.908,4.915,4.927,4.98,4.988
10137,64,4.887,4.92,4.924,4.911,4.988,4.919
10142,64,4.902,4.97,4.916,4.878,4.974,4.967
10150,64,4.911,4.922,4.93,4.997,4.969,5.015
10154,64,4.866,4.966,4.945,4.932,4.977,4.939
10166,20,4.918,4.901,4.918,4.975,4.959,4.986
10185,20,4.941,4.912,4.97,4.963,4.941,4.984
10186,64,4.889,4.865,4.888,4.956,4.969,4.937
10188,64,4.908,4.896,4.932,4.918,4.971,4.969
10203,20,4.924,4.916,4.952,4.888,4.95,4.999
10221,64,4.999,4.945,4.928,4.933,5.004,4.904
10223,20,4.895,4.941,4.946,4.874,4.948,5.02
10234,20,4.881,4.92,4.937,4.907,4.932,4.967
10296,20,4.928,4.955,4.898,4.957,4.987,4.963
10318,20,4.887,4.924,4.918,4.914,4.926,5.002
10319,20,4.915,4.943,4.949,4.966,4.93,5.003
10320,20,4.914,4.921,4.936,4.914,4.932,5.004
10321,20,4.905,4.918,4.934,4.933,4.948,4.998
10363,20,4.861,4.956,4.921,4.951,4.956,4.99
10382,20,4.902,4.947,4.941,4.927,4.939,4.971
10391,20,4.898,4.923,4.944,4.931,4.948,4.964
10416,20,4.879,4.888,4.926,4.905,4.912,4.948
10422,20,4.96,4.929,4.974,4.976,4.94,5.066
10438,20,4.87,4.897,4.926,4.93,4.941,4.989
12042,20,4.885,4.885,4.92,4.957,4.955,4.925
