subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,-37.09017293,-8.234064901,-4.097724796,-53.32043024,20.40958416,-6.513016107
10024,64,-1.834135708,-1.704206917,-0.4275861501,8.032541225,1.290515041,-0.310549517
10035,64,3.126350432,-1.605545699,-2.283421525,0.8763665532,2.400901805,-0.6562015505
10041,64,-3.240872661,1.210604161,0.2488534304,-3.915360591,-0.753581451,-1.318662779
10043,64,-3.603713303,-0.3059140943,1.095515907,1.638410685,-0.7259059618,-1.034924255
10054,64,-0.09299115622,0.1950614127,1.188868895,0.9291346561,4.248935526,0.2721797407
10059,64,2.047875336,0.8790947736,-2.048059338,2.873299622,7.099378874,-0.9629318135
10069,64,0.2567228355,3.93288893,0.8298277099,-0.5708780204,-0.2595527878,-1.37164201
10074,64,-0.1527824719,-1.033133224,-1.578645419,1.661103272,2.626666504,1.239502926
10078,64,0.9647502671,1.211789193,-0.2054517607,-10.44498244,5.40834768,0.3250581876
10080,64,2.792600724,-2.415143981,-2.699957585,0.9465624784,-0.6970898372,3.157577417
10085,64,-2.414096608,-1.004991943,-0.5510230495,-0.6503339734,-0.8295699996,1.163826939
10094,64,1.343241903,1.759790561,-0.1891396525,-5.01586565,-6.993239009,-3.007713483
10108,64,-7.533191854,-0.4438131296,0.3871279056,-9.254094292,-2.876118842,-0.3169093001
10125,64,1.948964134,0.4798549809,1.980512897,-0.4183863822,1.25019583,3.672745312
10130,64,-1.840797194,-0.5614244016,3.139425953,-0.1425254147,-2.69988812,-1.577029893
10136,64,5.144651208,-0.3486913962,0.3275969683,-3.661769421,-3.468971487,-0.7937064774
10137,64,8.26830231,2.752893776,2.771858335,0.4147162651,5.25729163,1.198990534
10142,64,-2.030206193,-1.018938248,-3.151616044,-9.866069522,-3.22464619,-0.1739047868
10150,64,5.467671566,-1.304470668,-0.02745203621,0.7043930147,0.3290792554,-0.154810612
10154,64,0.03320144815,-2.229002252,-2.681165293,-5.79415077,-2.054705801,0.03266687552
10166,20,-2.245541584,-4.047898011,-0.6803801433,2.358394923,0.7319144911,10.03410446
10185,20,-8.0533714,1.39708836,-3.152043568,3.121317586,-3.984512411,5.440033283
10186,64,-0.63965902,-2.088576934,-1.701953426,1.687448807,-0.774037939,-1.221164854
10188,64,-12.87310345,2.755164158,-1.252649458,6.405764256,1.729648888,-2.755452824
10203,20,1.712197063,0.526272958,0.4992190676,-17.98169013,-2.886324967,0.4775466681
10221,64,0.3697503149,0.2628905909,-0.125100888,-3.169750772,1.796113517,5.725132838
10223,20,-7.470542921,1.659290294,3.014853487,-4.766325464,-0.02881644115,0.7245163947
10234,20,5.395540356,2.23920078,-1.957977204,-13.19400355,3.918636,2.472664271
10296,20,-1.978036426,3.818381406,1.825508182,0.2614856991,5.232330565,0.576529925
10318,20,-3.411695469,6.179925703,-1.417817807,-9.249818976,-0.3005286112,-1.295817797
10319,20,4.657392025,5.583813058,2.370310535,-0.7189158678,1.018394951,-5.925429171
10320,20,-0.3845774555,1.068602561,-1.207733174,-9.450540944,-2.12409439,-0.1436557343
10321,20,-0.8896654876,0.04013266833,-9.854928921,-9.627410663,-3.316869791,2.610022157
10363,20,0.5988136605,-5.094741695,-2.265568615,-0.8170535252,5.044157366,3.469653198
10382,20,1.975711267,5.805410545,-4.833883593,9.32813471,-2.020621913,4.9219471
10391,20,3.630513411,-0.6807342295,0.3807762787,-5.85589228,0.371333616,1.021321531
10416,20,-1.353634049,-3.038903791,-0.388551163,1.173628539,2.048808185,1.306499216
10422,20,0.9015665729,-1.033286612,-0.7494067458,-2.667302826,-0.5495359544,3.914502643
10438,20,-3.910504163,-0.8983686125,1.034626948,-5.082514401,-1.116378579,-6.29620148
10652,20,0.0,0.0,0.0,,,
12042,20,2.869023555,2.353722915,-1.506005647,-6.336420287,-1.891976583,2.76516039
