subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,70.0392,70.4196,70.6137,82.3721,73.9022,60.918
10024,64,63.0385,67.5879,67.5283,70.6934,73.35,54.3657
10035,64,76.0496,75.6277,71.338,84.5665,78.1289,63.5727
10041,64,61.5863,62.1115,53.8514,62.228,61.0086,62.4478
10043,64,76.901,75.9233,73.9997,77.2322,75.5226,59.2947
10054,64,73.5258,74.5556,64.8578,67.9487,69.7453,60.1121
10059,64,68.2903,61.9654,65.9262,74.4079,62.7473,59.686
10069,64,64.0579,57.2193,54.1166,54.9245,52.6664,48.443
10074,64,68.0606,68.785,66.4586,74.078,70.5569,56.3014
10078,64,68.415,69.4646,66.776,76.5519,75.3762,61.2473
10080,64,52.2275,57.2405,57.7355,58.3527,50.2663,43.4291
10085,64,46.4663,46.8599,49.2703,52.6662,47.4222,37.4079
10108,64,61.8843,62.1164,65.8125,71.2706,70.8553,49.8579
10125,64,57.3838,56.0003,53.9789,58.0169,61.5048,48.0621
10130,64,59.4556,65.1255,62.9719,64.6459,65.6151,56.2769
10136,64,67.6097,63.8487,62.4995,66.3758,63.6579,61.3105
10137,64,70.0518,69.1443,64.5232,75.9608,70.5803,48.4905
10142,64,56.3721,61.292,66.8755,73.8914,69.9155,46.7312
10150,64,63.9461,61.2464,54.8284,54.4362,64.4171,53.0697
10154,64,66.7844,66.3627,63.5234,64.0764,71.2773,49.6436
10166,20,63.4662,56.9051,51.253,68.2299,61.8328,27.8489
10185,20,61.8995,59.2461,48.8626,77.0494,60.4442,35.2972
10186,64,59.4817,63.2363,61.2938,80.0325,70.9888,58.6136
10188,64,69.5737,68.9669,68.7754,69.3667,67.3787,45.9583
10203,20,72.5208,70.3225,63.995,86.0905,79.3076,45.1529
10221,64,67.0148,62.6149,61.8748,60.981,60.3861,43.0861
10223,20,64.5649,66.9426,57.6627,73.0077,68.865,42.5916
10234,20,57.5292,56.1396,50.7834,65.3874,53.9326,38.3035
10296,20,46.35,49.8951,45.4428,65.7145,55.2453,27.429
10318,20,73.3417,68.4288,57.711,84.0692,70.775,40.9139
10319,20,67.8011,68.0039,60.5625,72.3707,70.6004,36.9475
10320,20,73.1867,71.2503,61.8964,76.8591,77.8274,52.2081
10321,20,76.0862,69.458,63.6847,81.1631,72.4472,40.9555
10363,20,69.045,68.3847,58.0559,70.228,62.8776,39.5542
10382,20,58.0086,57.9783,47.2423,66.6277,55.2355,40.418
10391,20,68.472,68.3185,65.5514,71.8849,69.7756,49.166
10416,20,67.7272,57.4824,51.6736,66.9577,52.4405,35.6691
10422,20,64.9341,59.8818,51.2608,67.7903,70.4338,37.2997
10438,20,47.8713,55.7517,49.538,60.1029,51.1414,26.7423
12042,20,64.9087,67.4345,58.9277,77.8569,70.322,48.7368
