subject,headcoil,mb1me1,mb3me1,mb6me1,mb1me4,mb3me4,mb6me4
10017,64,60.3422,-23.8654,-88.5507,-73.6003,25.7673,7.49806
10024,64,3.34565,11.7991,35.3759,68.2037,86.5219,104.165
10035,64,-72.5652,-30.2285,67.6806,47.2171,17.547,52.499
10041,64,85.9805,89.9091,-3.28938,78.8632,116.179,82.0383
10043,64,77.2844,85.4412,89.7514,120.487,79.5741,97.7192
10054,64,105.402,51.8966,14.251,75.6842,42.5756,56.2446
10059,64,89.9977,98.8102,95.6019,140.341,138.149,165.556
10069,64,15.3534,57.2433,67.3101,19.5865,44.3967,-85.0599
10074,64,-27.1527,113.973,56.2671,92.2772,85.6809,37.065
10078,64,-98.2018,95.3935,127.159,96.6404,117.832,100.922
10080,64,71.8727,49.5564,54.5201,61.5227,1.0456,57.7561
10085,64,71.4071,132.679,-10.2323,-24.9813,70.0676,248.092
10108,64,10.9908,29.1013,69.3444,,-0.880221,77.7945
10125,64,-58.6404,69.1814,89.9547,97.1515,205.79,102.283
10130,64,-68.0076,53.5126,24.2761,126.977,-14.7801,67.3184
10136,64,36.4165,69.0208,146.562,80.4463,66.1203,144.31
10137,64,-24.2923,-66.5758,-3.23678,-41.5091,27.9864,-33.9423
10142,64,18.5258,46.2199,42.591,7.33829,82.5497,55.5094
10150,64,-160.986,73.5542,52.5728,20.6664,48.4409,212.334
10154,64,29.8765,27.9707,65.3222,-31.2331,28.0676,84.7449
10166,20,130.622,69.9959,53.5185,179.804,70.7232,154.789
10185,20,-51.9869,647.296,217.361,82.3205,112.587,-17.2831
10186,64,-3.85818,34.8436,75.8359,59.0436,137.949,82.7069
10188,64,138.101,76.1611,40.4781,,102.979,79.7514
10203,20,31.4132,82.0865,46.7241,133.62,90.5928,19.6674
10221,64,67.3091,56.233,83.9842,263.928,149.101,179.266
10223,20,35.2773,90.2707,104.209,48.5259,10.6138,-8.54664
10234,20,-129.983,-26.3903,52.6253,106.875,55.5288,26.6421
10296,20,81.2902,29.5406,56.5664,68.9979,52.8305,38.3646
10318,20,-16.228,76.2137,21.48,21.1618,82.7626,69.3859
10319,20,1.49614,40.1902,-8.27945,45.924,20.854,16.1395
10320,20,-122.61,163.319,118.888,116.769,175.871,99.0881
10321,20,12.6934,150.763,135.321,135.179,142.164,306.663
10363,20,32.8298,74.2446,95.2849,301.786,103.159,108.848
10382,20,46.4545,-53.9873,-35.2784,-211.843,-98.7376,141.707
10391,20,71.6771,17.3421,-33.7783,-74.1167,23.6017,-25.8972
10416,20,134.11,59.9097,24.0597,134.302,124.313,12.1038
10422,20,97.2721,-1.28938,-32.6895,-62.7902,178.233,132.045
10438,20,143.892,141.496,138.486,144.499,109.916,139.258
12042,20,98.5753,59.3282,112.005,246.705,177.445,121.676
